2012-01-01,2012-01-01,New Year's Day
2012-04-06,2012-04-06,Good Friday
2012-04-09,2012-04-09,Easter Monday
2012-05-21,2012-05-21,Victoria Day
2012-07-01,2012-07-01,Canada Day
2012-07-02,2012-07-02,Canada Day - statutory holiday
2012-09-03,2012-09-03,Labour Day
2012-10-08,2012-10-08,Thanksgiving Day
2012-12-25,2012-12-25,Christmas
2012-12-26,2012-12-26,Boxing Day
2013-01-01,2013-01-01,New Year's Day
2013-03-29,2013-03-29,Good Friday
2013-04-01,2013-04-01,Easter Monday
2013-05-20,2013-05-20,Victoria Day
2013-07-01,2013-07-01,Canada Day
2013-09-02,2013-09-02,Labour Day
2013-10-14,2013-10-14,Thanksgiving Day
2013-12-25,2013-12-25,Christmas
2013-12-26,2013-12-26,Boxing Day
2014-01-01,2014-01-01,New Year's Day
2014-04-18,2014-04-18,Good Friday
2014-04-21,2014-04-21,Easter Monday
2014-05-19,2014-05-19,Victoria Day
2014-07-01,2014-07-01,Canada Day
2014-09-01,2014-09-01,Labour Day
2014-10-13,2014-10-13,Thanksgiving Day
2014-12-25,2014-12-25,Christmas
2014-12-26,2014-12-26,Boxing Day
2015-01-01,2015-01-01,New Year's Day
2015-04-03,2015-04-03,Good Friday
2015-04-06,2015-04-06,Easter Monday
2015-05-18,2015-05-18,Victoria Day
2015-07-01,2015-07-01,Canada Day
2015-09-07,2015-09-07,Labour Day
2015-10-12,2015-10-12,Thanksgiving Day
2015-12-25,2015-12-25,Christmas
2015-12-26,2015-12-26,Boxing Day
2016-01-01,2016-01-01,New Year's Day
2016-03-25,2016-03-25,Good Friday
2016-03-28,2016-03-28,Easter Monday
2016-05-23,2016-05-23,Victoria Day
2016-07-01,2016-07-01,Canada Day
2016-09-05,2016-09-05,Labour Day
2016-10-10,2016-10-10,Thanksgiving Day
2016-12-25,2016-12-25,Christmas
2016-12-26,2016-12-26,Boxing Day
2017-01-01,2017-01-01,New Year's Day
2017-04-14,2017-04-14,Good Friday
2017-04-17,2017-04-17,Easter Monday
2017-05-22,2017-05-22,Victoria Day
2017-07-01,2017-07-01,Canada Day
2017-07-03,2017-07-03,Canada Day - statutory holiday
2017-09-04,2017-09-04,Labour Day
2017-10-09,2017-10-09,Thanksgiving Day
2017-12-25,2017-12-25,Christmas
2017-12-26,2017-12-26,Boxing Day
2018-01-01,2018-01-01,New Year's Day
2018-03-30,2018-03-30,Good Friday
2018-04-02,2018-04-02,Easter Monday
2018-05-21,2018-05-21,Victoria Day
2018-07-01,2018-07-01,Canada Day
2018-07-02,2018-07-02,Canada Day - statutory holiday
2018-09-03,2018-09-03,Labour Day
2018-10-08,2018-10-08,Thanksgiving Day
2018-12-25,2018-12-25,Christmas
2018-12-26,2018-12-26,Boxing Day
2019-01-01,2019-01-01,New Year's Day
2019-04-19,2019-04-19,Good Friday
2019-04-22,2019-04-22,Easter Monday
2019-05-20,2019-05-20,Victoria Day
2019-07-01,2019-07-01,Canada Day
2019-09-02,2019-09-02,Labour Day
2019-10-14,2019-10-14,Thanksgiving Day
2019-12-25,2019-12-25,Christmas
2019-12-26,2019-12-26,Boxing Day
2020-01-01,2020-01-01,New Year's Day
2020-04-10,2020-04-10,Good Friday
2020-04-13,2020-04-13,Easter Monday
2020-05-18,2020-05-18,Victoria Day
2020-07-01,2020-07-01,Canada Day
2020-09-07,2020-09-07,Labour Day
2020-10-12,2020-10-12,Thanksgiving Day
2020-12-25,2020-12-25,Christmas
2020-12-26,2020-12-26,Boxing Day
