2012-01-01,2012-01-01,New Year's Day
2012-02-05,2012-02-05,Constitution Day Memorial
2012-02-06,2012-02-06,Day off for Constitution Day Memorial
2012-03-19,2012-03-19,Day off for Benito Juárez's Birthday Memorial
2012-03-21,2012-03-21,Benito Juárez's Birthday Memorial
2012-05-01,2012-05-01,Labor Day / May Day
2012-07-01,2012-07-01,Mexican general election
2012-09-16,2012-09-16,Independence Day
2012-11-19,2012-11-19,Day off for Revolution Day Memorial
2012-11-20,2012-11-20,Revolution Day Memorial
2012-12-01,2012-12-01,Inauguration day
2012-12-25,2012-12-25,Christmas Day
2013-01-01,2013-01-01,New Year's Day
2013-02-04,2013-02-04,Day off for Constitution Day Memorial
2013-02-05,2013-02-05,Constitution Day Memorial
2013-03-18,2013-03-18,Day off for Benito Juárez's Birthday Memorial
2013-03-21,2013-03-21,Benito Juárez's Birthday Memorial
2013-05-01,2013-05-01,Labor Day / May Day
2013-09-16,2013-09-16,Independence Day
2013-11-18,2013-11-18,Day off for Revolution Day Memorial
2013-11-20,2013-11-20,Revolution Day Memorial
2013-12-25,2013-12-25,Christmas Day
2014-01-01,2014-01-01,New Year's Day
2014-02-03,2014-02-03,Day off for Constitution Day Memorial
2014-02-05,2014-02-05,Constitution Day Memorial
2014-03-17,2014-03-17,Day off for Benito Juárez's Birthday Memorial
2014-03-21,2014-03-21,Benito Juárez's Birthday Memorial
2014-05-01,2014-05-01,Labor Day / May Day
2014-09-16,2014-09-16,Independence Day
2014-11-17,2014-11-17,Day off for Revolution Day Memorial
2014-11-20,2014-11-20,Revolution Day Memorial
2014-12-25,2014-12-25,Christmas Day
2015-01-01,2015-01-01,New Year's Day
2015-02-02,2015-02-02,Day off for Constitution Day Memorial
2015-02-05,2015-02-05,Constitution Day Memorial
2015-03-16,2015-03-16,Day off for Benito Juárez's Birthday Memorial
2015-03-21,2015-03-21,Benito Juárez's Birthday Memorial
2015-05-01,2015-05-01,Labor Day / May Day
2015-09-16,2015-09-16,Independence Day
2015-11-16,2015-11-16,Day off for Revolution Day Memorial
2015-11-20,2015-11-20,Revolution Day Memorial
2015-12-25,2015-12-25,Christmas Day
2016-01-01,2016-01-01,New Year's Day
2016-02-01,2016-02-01,Day off for Constitution Day Memorial
2016-02-05,2016-02-05,Constitution Day Memorial
2016-03-21,2016-03-21,Benito Juárez's Birthday Memorial
2016-05-01,2016-05-01,Labor Day / May Day
2016-09-16,2016-09-16,Independence Day
2016-11-20,2016-11-20,Revolution Day Memorial
2016-11-21,2016-11-21,Day off for Revolution Day Memorial
2016-12-25,2016-12-25,Christmas Day
2017-01-01,2017-01-01,New Year's Day
2017-02-05,2017-02-05,Constitution Day Memorial
2017-02-06,2017-02-06,Day off for Constitution Day Memorial
2017-03-20,2017-03-20,Day off for Benito Juárez's Birthday Memorial
2017-03-21,2017-03-21,Benito Juárez's Birthday Memorial
2017-05-01,2017-05-01,Labor Day / May Day
2017-09-16,2017-09-16,Independence Day
2017-11-20,2017-11-20,Revolution Day Memorial
2017-12-25,2017-12-25,Christmas Day
2018-01-01,2018-01-01,New Year's Day
2018-02-05,2018-02-05,Constitution Day Memorial
2018-03-19,2018-03-19,Day off for Benito Juárez's Birthday Memorial
2018-03-21,2018-03-21,Benito Juárez's Birthday Memorial
2018-05-01,2018-05-01,Labor Day / May Day
2018-07-01,2018-07-01,Mexican general election
2018-09-16,2018-09-16,Independence Day
2018-11-19,2018-11-19,Day off for Revolution Day Memorial
2018-11-20,2018-11-20,Revolution Day Memorial
2018-12-01,2018-12-01,Inauguration day
2018-12-25,2018-12-25,Christmas Day
2019-01-01,2019-01-01,New Year's Day
2019-02-04,2019-02-04,Day off for Constitution Day Memorial
2019-02-05,2019-02-05,Constitution Day Memorial
2019-03-18,2019-03-18,Day off for Benito Juárez's Birthday Memorial
2019-03-21,2019-03-21,Benito Juárez's Birthday Memorial
2019-05-01,2019-05-01,Labor Day / May Day
2019-09-16,2019-09-16,Independence Day
2019-11-18,2019-11-18,Day off for Revolution Day Memorial
2019-11-20,2019-11-20,Revolution Day Memorial
2019-12-25,2019-12-25,Christmas Day
2020-01-01,2020-01-01,New Year's Day
2020-02-03,2020-02-03,Day off for Constitution Day Memorial
2020-02-05,2020-02-05,Constitution Day Memorial
2020-03-16,2020-03-16,Day off for Benito Juárez's Birthday Memorial
2020-03-21,2020-03-21,Benito Juárez's Birthday Memorial
2020-05-01,2020-05-01,Labor Day / May Day
2020-09-16,2020-09-16,Independence Day
2020-11-16,2020-11-16,Day off for Revolution Day Memorial
2020-11-20,2020-11-20,Revolution Day Memorial
2020-12-25,2020-12-25,Christmas Day
